Date,Open,High,Low,Close,AdjClose,Volume
20-09-2016,18175.35938,18227.21094,18128.80078,18129.96094,18129.96094,72450000
21-09-2016,18164.96094,18307.42969,18121.57031,18293.69922,18293.69922,94090000
22-09-2016,18343.75977,18449.88086,18343.75977,18392.46094,18392.46094,73030000
23-09-2016,18377.35938,18383.75977,18254.83984,18261.44922,18261.44922,87170000
26-09-2016,18217.75977,18217.75977,18083.32031,18094.83008,18094.83008,95510000
27-09-2016,18099.21094,18238.09961,18052.16016,18228.30078,18228.30078,84130000
28-09-2016,18240.2207,18349.85938,18179.33984,18339.24023,18339.24023,97650000
29-09-2016,18322.88086,18366.23047,18091.64063,18143.44922,18143.44922,95880000
30-09-2016,18181.80078,18369.61914,18181.80078,18308.15039,18308.15039,135470000
03-10-2016,18279.59961,18279.80078,18203.75,18253.84961,18253.84961,68520000
04-10-2016,18267.67969,18313.76953,18116.25977,18168.44922,18168.44922,79710000
05-10-2016,18205.5,18315.82031,18205.5,18281.0293,18281.0293,76190000
06-10-2016,18280.41992,18288.11914,18162.9707,18268.5,18268.5,78660000
07-10-2016,18295.34961,18319.73047,18149.34961,18240.49023,18240.49023,82680000
10-10-2016,18282.94922,18399.96094,18282.94922,18329.03906,18329.03906,72110000
11-10-2016,18308.42969,18312.33008,18061.96094,18128.66016,18128.66016,88610000
12-10-2016,18132.63086,18193.96094,18082.08984,18144.19922,18144.19922,72230000
13-10-2016,18088.32031,18137.69922,17959.94922,18098.93945,18098.93945,83160000
14-10-2016,18177.34961,18261.10938,18138.38086,18138.38086,18138.38086,87050000
17-10-2016,18135.84961,18162.2793,18063.01953,18086.40039,18086.40039,75960000
18-10-2016,18145.06055,18225.80078,18129.44922,18161.93945,18161.93945,74600000
19-10-2016,18178.21094,18252.19922,18169.25,18202.61914,18202.61914,88040000
20-10-2016,18161.86914,18249.05078,18129.07031,18162.34961,18162.34961,88830000
21-10-2016,18152.63086,18168.75977,18049.76953,18145.71094,18145.71094,117810000
24-10-2016,18197.14063,18275.03906,18191.17969,18223.0293,18223.0293,88540000
25-10-2016,18206.51953,18241.68945,18151.69922,18169.26953,18169.26953,83190000
26-10-2016,18103.80078,18236.03906,18062.30078,18199.33008,18199.33008,86340000
27-10-2016,18234.81055,18253.19922,18149.19922,18169.67969,18169.67969,83530000
28-10-2016,18193.78906,18257.06055,18094.9707,18161.18945,18161.18945,107850000
31-10-2016,18176.59961,18193.67969,18130.58008,18142.41992,18142.41992,110080000
01-11-2016,18158.24023,18177.00977,17940.83984,18037.09961,18037.09961,101280000
02-11-2016,18017.7207,18044.15039,17931.89063,17959.64063,17959.64063,88610000
03-11-2016,17978.75,18006.96094,17904.07031,17930.66992,17930.66992,77860000
04-11-2016,17928.34961,17986.75977,17883.56055,17888.2793,17888.2793,97760000
07-11-2016,17994.64063,18263.30078,17994.64063,18259.59961,18259.59961,93450000
08-11-2016,18251.38086,18400.5,18200.75,18332.74023,18332.74023,79820000
09-11-2016,18317.25977,18650.06055,18252.55078,18589.68945,18589.68945,173110000
10-11-2016,18603.14063,18873.66016,18603.14063,18807.88086,18807.88086,164390000
11-11-2016,18781.65039,18855.7793,18736.96094,18847.66016,18847.66016,107300000
14-11-2016,18876.76953,18934.05078,18815.75,18868.68945,18868.68945,112250000
15-11-2016,18858.21094,18925.25977,18806.06055,18923.06055,18923.06055,100660000
16-11-2016,18909.84961,18909.84961,18825.89063,18868.14063,18868.14063,87320000
17-11-2016,18866.2207,18904.0293,18845.26953,18903.82031,18903.82031,89940000
18-11-2016,18905.33008,18915.74023,18853.83008,18867.92969,18867.92969,109880000
21-11-2016,18898.67969,18960.75977,18883.09961,18956.68945,18956.68945,80520000
22-11-2016,18970.39063,19043.90039,18962.82031,19023.86914,19023.86914,85310000
23-11-2016,19015.51953,19083.75977,19000.38086,19083.17969,19083.17969,77880000
25-11-2016,19093.7207,19152.14063,19093.7207,19152.14063,19152.14063,45890000
28-11-2016,19122.14063,19138.7207,19072.25,19097.90039,19097.90039,88460000
29-11-2016,19064.07031,19144.40039,19062.2207,19121.59961,19121.59961,81510000
30-11-2016,19135.64063,19225.28906,19123.38086,19123.58008,19123.58008,164570000
01-12-2016,19149.19922,19214.30078,19138.78906,19191.92969,19191.92969,108800000
02-12-2016,19161.25,19196.14063,19141.17969,19170.41992,19170.41992,84920000
05-12-2016,19244.34961,19274.84961,19186.73047,19216.24023,19216.24023,317800000
06-12-2016,19219.91016,19255.89063,19184.74023,19251.7793,19251.7793,284960000
07-12-2016,19241.99023,19558.41992,19229.83008,19549.61914,19549.61914,385200000
08-12-2016,19559.93945,19664.9707,19527.83008,19614.81055,19614.81055,324570000
09-12-2016,19631.34961,19757.74023,19623.18945,19756.84961,19756.84961,334470000
12-12-2016,19770.19922,19824.58984,19747.74023,19796.42969,19796.42969,333660000
13-12-2016,19852.21094,19953.75,19846.44922,19911.21094,19911.21094,388420000
14-12-2016,19876.13086,19966.42969,19748.66992,19792.5293,19792.5293,408430000
15-12-2016,19811.5,19951.28906,19811.5,19852.24023,19852.24023,357350000
16-12-2016,19909.00977,19923.16992,19821,19843.41016,19843.41016,573470000
19-12-2016,19836.66016,19917.7793,19832.94922,19883.06055,19883.06055,302310000
20-12-2016,19920.58984,19987.63086,19920.41992,19974.61914,19974.61914,284080000
21-12-2016,19968.9707,19986.56055,19941.96094,19941.96094,19941.96094,256640000
22-12-2016,19922.67969,19933.83008,19882.18945,19918.88086,19918.88086,258290000
23-12-2016,19908.60938,19934.15039,19899.06055,19933.81055,19933.81055,158260000
27-12-2016,19943.46094,19980.24023,19939.80078,19945.03906,19945.03906,158540000
